Date,Close/Last,Volume,Open,High,Low
7/12/2022,$251.48 ,2112805,$252.97 ,$255.62 ,$250.76 
7/11/2022,$253.28 ,1478345,$252.08 ,$255.40 ,$252.08 
7/8/2022,$253.24 ,1450519,$252.60 ,$254.62 ,$252.32 
7/7/2022,$252.94 ,2396689,$253.26 ,$254.92 ,$251.18 
7/6/2022,$251.46 ,1948691,$252.47 ,$252.86 ,$249.37 
7/5/2022,$252.29 ,2392617,$251.15 ,$253.00 ,$249.66 
7/1/2022,$252.96 ,2531474,$246.35 ,$253.14 ,$246.00 
6/30/2022,$246.88 ,2786218,$248.25 ,$248.59 ,$245.45 
6/29/2022,$247.74 ,2997210,$246.14 ,$248.87 ,$245.11 
6/28/2022,$242.83 ,2381745,$247.06 ,$249.96 ,$242.52 
6/27/2022,$247.03 ,2059304,$247.90 ,$248.77 ,$246.57 
6/24/2022,$247.90 ,3104842,$245.26 ,$248.00 ,$244.49 
6/23/2022,$243.58 ,1937201,$243.70 ,$245.09 ,$240.46 
6/22/2022,$243.06 ,3054788,$238.79 ,$244.55 ,$238.36 
6/21/2022,$239.59 ,3263514,$236.22 ,$240.10 ,$234.14 
6/17/2022,$234.38 ,7236261,$234.22 ,$235.49 ,$232.17 
6/16/2022,$235.19 ,3271976,$236.08 ,$237.32 ,$233.82 
6/15/2022,$238.90 ,3152171,$239.86 ,$241.58 ,$236.12 
6/14/2022,$238.76 ,3564777,$239.96 ,$242.90 ,$238.62 
6/13/2022,$238.47 ,4697049,$232.79 ,$240.10 ,$232.68 
6/10/2022,$237.38 ,1994336,$239.18 ,$239.51 ,$237.16 
6/9/2022,$242.16 ,2682889,$243.62 ,$246.00 ,$242.03 
6/8/2022,$245.61 ,2101295,$247.90 ,$248.48 ,$244.89 
6/7/2022,$248.94 ,2782196,$246.00 ,$249.79 ,$245.53 
6/6/2022,$248.07 ,1569322,$249.08 ,$249.53 ,$247.33 
6/3/2022,$248.36 ,1838859,$248.43 ,$250.27 ,$248.17 
6/2/2022,$250.38 ,2089654,$249.60 ,$250.44 ,$246.22 
6/1/2022,$249.28 ,2264141,$253.19 ,$253.42 ,$248.19 
5/31/2022,$252.21 ,3924700,$250.00 ,$254.28 ,$248.63 
5/27/2022,$251.87 ,2063755,$249.50 ,$251.87 ,$248.78 
5/26/2022,$248.09 ,1972341,$246.00 ,$249.33 ,$245.60 
5/25/2022,$244.01 ,2641667,$242.58 ,$245.70 ,$241.59 
5/24/2022,$244.52 ,5258233,$237.50 ,$245.80 ,$237.45 
5/23/2022,$238.00 ,3053463,$235.76 ,$238.89 ,$233.50 
5/20/2022,$233.91 ,3208225,$231.38 ,$234.06 ,$228.59 
5/19/2022,$229.00 ,3518259,$229.50 ,$232.15 ,$228.34 
5/18/2022,$231.05 ,3946143,$239.46 ,$240.08 ,$230.37 
5/17/2022,$241.63 ,3205114,$246.00 ,$247.00 ,$239.46 
5/16/2022,$244.04 ,2147127,$244.46 ,$245.48 ,$240.73 
