Date,Close/Last,Volume,Open,High,Low
12/26/2024,$527.18 ,777720,$524.60 ,$527.33 ,$523.70 
12/24/2024,$528.98 ,488699,$523.25 ,$528.98 ,$522.30 
12/23/2024,$525.29 ,1558114,$520.18 ,$526.24 ,$519.59 
12/20/2024,$524.05 ,2758854,$516.69 ,$526.43 ,$515.00 
12/19/2024,$516.69 ,2237163,$518.72 ,$522.43 ,$508.86 
12/18/2024,$516.18 ,1774329,$528.00 ,$533.34 ,$515.90 
12/17/2024,$528.84 ,2544835,$526.01 ,$535.94 ,$526.01 
12/16/2024,$530.26 ,2595619,$527.34 ,$534.73 ,$526.72 
12/13/2024,$526.89 ,1553525,$523.65 ,$528.09 ,$517.15 
12/12/2024,$525.00 ,2539196,$531.33 ,$531.89 ,$524.05 
12/11/2024,$534.36 ,1389224,$535.00 ,$540.03 ,$533.64 
12/10/2024,$535.85 ,1937999,$539.53 ,$542.40 ,$534.53 
12/9/2024,$537.23 ,2106677,$529.69 ,$538.09 ,$526.64 
12/6/2024,$529.36 ,1869732,$523.00 ,$531.32 ,$522.00 
12/5/2024,$520.86 ,2665270,$527.21 ,$527.41 ,$517.68 
12/4/2024,$528.87 ,2579756,$532.55 ,$536.53 ,$524.84 
12/3/2024,$534.42 ,2665203,$530.25 ,$535.98 ,$527.94 
12/2/2024,$529.95 ,2558569,$528.70 ,$534.84 ,$526.60 
11/29/2024,$529.63 ,2108339,$523.13 ,$533.17 ,$523.00 
11/27/2024,$521.66 ,2914199,$515.41 ,$528.86 ,$514.98 
11/26/2024,$512.98 ,1748538,$514.20 ,$514.20 ,$507.27 
11/25/2024,$514.20 ,3063549,$512.30 ,$516.34 ,$509.36 
11/22/2024,$513.26 ,1833539,$514.62 ,$517.00 ,$507.17 
11/21/2024,$516.10 ,1956777,$514.12 ,$516.22 ,$507.46 
11/20/2024,$512.84 ,1534010,$507.08 ,$513.85 ,$502.73 
11/19/2024,$509.12 ,3658663,$496.19 ,$511.30 ,$493.30 
11/18/2024,$501.29 ,3164274,$511.00 ,$512.77 ,$498.61 
11/15/2024,$513.08 ,3953117,$529.40 ,$529.40 ,$511.70 
11/14/2024,$533.02 ,1765190,$539.90 ,$542.38 ,$531.69 
11/13/2024,$541.90 ,1212172,$540.00 ,$544.80 ,$538.00 
11/12/2024,$540.75 ,1724079,$549.16 ,$550.16 ,$540.05 
11/11/2024,$546.92 ,1565850,$549.08 ,$553.93 ,$545.07 
11/8/2024,$551.74 ,1620732,$557.23 ,$558.55 ,$549.00 
11/7/2024,$555.89 ,1304090,$565.00 ,$565.88 ,$554.20 
11/6/2024,$559.68 ,1423148,$570.20 ,$570.20 ,$549.20 
11/5/2024,$560.79 ,998699,$550.41 ,$561.78 ,$550.24 
11/4/2024,$555.47 ,815123,$556.68 ,$559.56 ,$550.15 
11/1/2024,$557.92 ,1459815,$550.00 ,$564.87 ,$547.29 
10/31/2024,$546.32 ,1472599,$548.56 ,$552.09 ,$544.49 
10/30/2024,$550.62 ,1452184,$547.50 ,$554.74 ,$546.75 
10/29/2024,$547.77 ,1638339,$550.96 ,$553.61 ,$547.25 
10/28/2024,$552.54 ,1116741,$559.25 ,$559.37 ,$550.45 
10/25/2024,$554.38 ,1090373,$560.16 ,$562.22 ,$553.31 
10/24/2024,$557.38 ,1757565,$572.36 ,$574.83 ,$557.26 
10/23/2024,$576.49 ,2058331,$574.58 ,$578.69 ,$566.08 
10/22/2024,$586.38 ,1619551,$587.49 ,$591.20 ,$584.16 
10/21/2024,$595.37 ,914622,$597.89 ,$600.58 ,$591.82 
10/18/2024,$601.71 ,1081607,$600.03 ,$604.39 ,$595.56 
10/17/2024,$599.25 ,1946149,$604.34 ,$608.39 ,$596.87 
10/16/2024,$591.55 ,1369297,$590.27 ,$596.80 ,$587.27 
10/15/2024,$600.52 ,1290564,$605.00 ,$610.56 ,$599.38 
10/14/2024,$603.79 ,1006424,$600.79 ,$604.54 ,$595.23 
10/11/2024,$596.92 ,2138162,$595.64 ,$602.41 ,$594.31 
10/10/2024,$593.79 ,1221166,$597.17 ,$597.17 ,$589.87 
10/9/2024,$599.25 ,890916,$594.11 ,$600.07 ,$593.11 
10/8/2024,$595.45 ,883538,$599.05 ,$602.30 ,$594.71 
10/7/2024,$598.85 ,1165872,$592.32 ,$599.30 ,$592.32 
10/4/2024,$598.61 ,871514,$602.63 ,$603.99 ,$596.53 
10/3/2024,$600.92 ,1258287,$609.86 ,$611.49 ,$599.35 
10/2/2024,$612.72 ,665365,$610.00 ,$616.57 ,$605.33 
10/1/2024,$612.94 ,1169248,$620.00 ,$620.00 ,$610.57 
9/30/2024,$618.57 ,1041296,$612.49 ,$619.02 ,$609.03 
9/27/2024,$614.42 ,871044,$619.39 ,$623.77 ,$614.04 
9/26/2024,$619.33 ,1312919,$604.56 ,$620.54 ,$604.56 
9/25/2024,$599.78 ,1282532,$613.87 ,$613.91 ,$596.00 
9/24/2024,$611.88 ,1361146,$611.21 ,$613.96 ,$607.82 
9/23/2024,$610.35 ,883226,$615.64 ,$616.41 ,$607.80 
9/20/2024,$613.69 ,1983068,$619.04 ,$619.04 ,$608.20 
9/19/2024,$620.25 ,1474247,$617.61 ,$623.75 ,$611.81 
9/18/2024,$610.12 ,1092625,$609.14 ,$614.92 ,$601.86 
9/17/2024,$610.49 ,1333012,$613.18 ,$616.58 ,$607.00 
9/16/2024,$614.15 ,1198221,$615.59 ,$616.48 ,$607.26 
9/13/2024,$611.17 ,1125097,$614.84 ,$617.04 ,$607.81 
9/12/2024,$614.16 ,1397629,$615.71 ,$619.31 ,$604.18 
9/11/2024,$618.46 ,1324098,$622.08 ,$623.00 ,$608.86 
9/10/2024,$624.21 ,1302892,$620.62 ,$627.88 ,$618.25 
9/9/2024,$620.42 ,1443321,$614.51 ,$622.26 ,$614.10 
9/6/2024,$611.33 ,1868789,$607.49 ,$619.70 ,$607.49 
9/5/2024,$606.88 ,1467659,$611.04 ,$614.17 ,$601.26 
9/4/2024,$611.90 ,1005979,$605.66 ,$612.67 ,$604.23 
9/3/2024,$606.43 ,1282258,$611.47 ,$615.03 ,$603.65 
8/30/2024,$615.07 ,1058979,$616.11 ,$618.00 ,$605.00 
8/29/2024,$611.68 ,722498,$614.43 ,$616.55 ,$609.66 
8/28/2024,$613.14 ,790456,$610.25 ,$618.00 ,$609.21 
8/27/2024,$610.40 ,737395,$605.60 ,$610.98 ,$602.00 
8/26/2024,$605.59 ,519485,$606.00 ,$606.91 ,$602.25 
8/23/2024,$606.12 ,777265,$606.77 ,$607.70 ,$600.56 
