date,close_price,volume,open_price,high_price,low_price
05/07/2024,$248.76 ,1683421,$246.54 ,$249.10 ,$246.20 
05/06/2024,$247.40 ,1741111,$248.71 ,$249.55 ,$246.91 
05/03/2024,$248.38 ,1787817,$249.54 ,$249.73 ,$247.59 
05/02/2024,$246.84 ,2780607,$248.99 ,$249.44 ,$242.66 
05/01/2024,$246.89 ,2310441,$246.26 ,$249.52 ,$244.55 
4/30/2024,$246.62 ,3940994,$246.50 ,$247.00 ,$244.28 
4/29/2024,$246.82 ,1616439,$246.25 ,$248.97 ,$245.73 
4/26/2024,$246.58 ,2710446,$243.68 ,$248.10 ,$243.68 
4/25/2024,$245.80 ,2943566,$249.93 ,$250.64 ,$245.28 
4/24/2024,$250.41 ,3344940,$249.03 ,$254.09 ,$247.98 
4/23/2024,$253.11 ,6876672,$254.72 ,$256.72 ,$249.59 
4/22/2024,$236.08 ,2820270,$235.96 ,$238.73 ,$234.47 
4/19/2024,$235.51 ,2351430,$237.78 ,$237.80 ,$234.02 
4/18/2024,$236.36 ,4261041,$232.26 ,$238.44 ,$230.74 
4/17/2024,$239.39 ,2988576,$240.42 ,$240.84 ,$238.02 
4/16/2024,$240.34 ,3225524,$241.10 ,$241.34 ,$238.53 
4/15/2024,$239.66 ,2824169,$242.36 ,$243.26 ,$238.16 
04/12/2024,$239.95 ,2684915,$242.38 ,$243.18 ,$239.00 
04/11/2024,$244.00 ,2081285,$246.31 ,$246.98 ,$243.07 
04/10/2024,$245.87 ,2229554,$244.82 ,$246.25 ,$243.43 
04/09/2024,$249.80 ,1602068,$246.57 ,$249.86 ,$245.53 
04/08/2024,$244.25 ,2425994,$244.54 ,$245.99 ,$243.72 
04/05/2024,$244.28 ,2280852,$242.13 ,$246.10 ,$242.04 
04/04/2024,$241.90 ,2693891,$246.48 ,$247.13 ,$241.72 
04/03/2024,$244.34 ,1898629,$246.00 ,$248.10 ,$243.78 
04/02/2024,$245.94 ,2955689,$245.00 ,$246.28 ,$242.58 
04/01/2024,$247.79 ,1728872,$249.72 ,$250.04 ,$246.67 
3/28/2024,$249.72 ,2560205,$248.34 ,$251.06 ,$247.20 
3/27/2024,$248.77 ,2665369,$249.84 ,$250.25 ,$247.08 
3/26/2024,$248.46 ,1962942,$247.27 ,$249.46 ,$247.27 
3/25/2024,$247.80 ,3372489,$254.28 ,$254.78 ,$246.19 
3/22/2024,$254.80 ,2310519,$255.00 ,$256.51 ,$253.55 
3/21/2024,$254.11 ,2313298,$252.26 ,$255.37 ,$251.50 
3/20/2024,$251.68 ,1651287,$253.30 ,$253.75 ,$250.23 
3/19/2024,$253.74 ,3211299,$251.00 ,$254.09 ,$250.20 
3/18/2024,$251.47 ,3868270,$250.39 ,$252.92 ,$249.98 
3/15/2024,$249.40 ,5793330,$250.71 ,$253.76 ,$249.14 
3/14/2024,$253.22 ,2635549,$253.87 ,$256.00 ,$250.54 
3/13/2024,$255.35 ,2249453,$254.39 ,$255.68 ,$253.10 
03/12/2024,$253.10 ,2221784,$252.83 ,$255.42 ,$252.01 
03/11/2024,$252.80 ,1360840,$252.50 ,$254.00 ,$250.74 
03/08/2024,$253.69 ,1786045,$253.10 ,$255.84 ,$252.96 
03/07/2024,$254.12 ,2857188,$254.81 ,$255.85 ,$253.31 
03/06/2024,$252.90 ,3733215,$255.48 ,$257.08 ,$252.25 
03/05/2024,$254.39 ,2278031,$255.16 ,$257.96 ,$254.18 
