Date,Close/Last,Volume,Open,High,Low
7/28/2022,$93.47 ,4726113,$93.46 ,$94.05 ,$92.49 
7/27/2022,$93.22 ,5933352,$92.66 ,$93.53 ,$92.50 
7/26/2022,$91.90 ,5163013,$91.08 ,$92.22 ,$90.71 
7/25/2022,$90.75 ,3723199,$90.98 ,$91.52 ,$90.46 
7/22/2022,$90.72 ,3466589,$90.55 ,$91.62 ,$89.99 
7/21/2022,$90.26 ,4607039,$89.67 ,$90.55 ,$89.16 
7/20/2022,$89.23 ,6264151,$90.03 ,$90.32 ,$88.50 
7/19/2022,$90.33 ,4654777,$88.76 ,$90.42 ,$88.76 
7/18/2022,$87.90 ,4264775,$89.56 ,$89.78 ,$87.71 
7/15/2022,$89.12 ,5587974,$88.81 ,$89.29 ,$88.07 
7/14/2022,$87.51 ,3843303,$87.08 ,$87.67 ,$86.70 
7/13/2022,$87.91 ,4244168,$87.66 ,$88.60 ,$86.81 
7/12/2022,$88.69 ,6200478,$88.80 ,$89.99 ,$88.38 
7/11/2022,$88.95 ,3345253,$88.66 ,$89.32 ,$88.17 
7/8/2022,$89.48 ,3997922,$89.62 ,$90.41 ,$89.23 
7/7/2022,$89.50 ,5581165,$89.37 ,$89.70 ,$88.70 
7/6/2022,$89.62 ,8061917,$90.04 ,$90.48 ,$89.10 
7/5/2022,$90.49 ,3590439,$90.53 ,$90.84 ,$88.81 
7/1/2022,$91.38 ,3985095,$89.76 ,$91.54 ,$89.06 
6/30/2022,$89.75 ,5206691,$89.42 ,$90.82 ,$88.91 
6/29/2022,$90.42 ,4072752,$89.89 ,$90.55 ,$89.07 
6/28/2022,$89.20 ,4167035,$90.86 ,$91.96 ,$89.12 
6/27/2022,$90.47 ,7237245,$90.36 ,$91.20 ,$89.88 
6/24/2022,$90.22 ,7131823,$89.35 ,$90.51 ,$88.25 
6/23/2022,$88.67 ,6823293,$88.37 ,$89.61 ,$88.16 
6/22/2022,$89.25 ,7458663,$88.18 ,$89.89 ,$88.05 
6/21/2022,$88.71 ,6520412,$89.65 ,$89.75 ,$88.11 
6/17/2022,$88.22 ,8299306,$88.27 ,$89.51 ,$87.71 
6/16/2022,$87.40 ,6729959,$87.50 ,$88.06 ,$86.95 
6/15/2022,$89.35 ,5236231,$89.21 ,$90.34 ,$88.44 
6/14/2022,$88.48 ,7522133,$90.04 ,$90.31 ,$87.69 
6/13/2022,$90.17 ,8502494,$90.50 ,$91.80 ,$89.74 
6/10/2022,$92.74 ,6723909,$91.87 ,$93.78 ,$91.01 
6/9/2022,$93.20 ,6008758,$95.00 ,$95.47 ,$93.17 
6/8/2022,$96.04 ,5665615,$96.28 ,$96.79 ,$95.81 
6/7/2022,$96.47 ,5928990,$95.11 ,$96.55 ,$94.57 
6/6/2022,$95.49 ,5432545,$96.25 ,$96.86 ,$95.19 
6/3/2022,$95.48 ,9097041,$98.77 ,$98.77 ,$95.38 
6/2/2022,$98.50 ,6794682,$97.86 ,$98.90 ,$96.12 
6/1/2022,$97.78 ,6493675,$100.28 ,$100.32 ,$96.38 
5/31/2022,$100.15 ,11330490,$98.34 ,$100.62 ,$98.22 
5/27/2022,$99.08 ,13358570,$99.13 ,$99.18 ,$96.86 
5/26/2022,$99.44 ,12674270,$98.75 ,$101.39 ,$98.18 
5/25/2022,$105.54 ,5495110,$105.26 ,$106.06 ,$104.34 
5/24/2022,$105.59 ,4381903,$104.14 ,$105.73 ,$103.76 
5/23/2022,$104.26 ,4134411,$103.83 ,$104.44 ,$102.50 
5/20/2022,$102.53 ,5335985,$103.53 ,$103.74 ,$100.42 
5/19/2022,$102.75 ,4230560,$102.23 ,$103.25 ,$101.25 
5/18/2022,$103.57 ,4133787,$105.14 ,$105.90 ,$103.25 
5/17/2022,$106.26 ,3168209,$105.27 ,$106.33 ,$104.99 
5/16/2022,$103.81 ,3751212,$102.00 ,$104.33 ,$102.00 
5/13/2022,$102.67 ,3525871,$102.36 ,$103.03 ,$101.80 
5/12/2022,$101.11 ,4434706,$99.96 ,$101.40 ,$99.49 
5/11/2022,$100.65 ,4113575,$100.46 ,$102.46 ,$100.24 
5/10/2022,$100.31 ,5638885,$100.78 ,$101.33 ,$98.79 
5/9/2022,$99.58 ,6593316,$102.28 ,$102.32 ,$99.21 
5/6/2022,$103.45 ,5496491,$103.97 ,$104.83 ,$102.72 
5/5/2022,$104.55 ,3945375,$104.50 ,$105.67 ,$103.47 
5/4/2022,$105.83 ,4258146,$103.09 ,$106.20 ,$102.48 
5/3/2022,$103.11 ,3841543,$103.43 ,$104.19 ,$102.66 
5/2/2022,$103.14 ,6104004,$105.17 ,$105.56 ,$101.26 
4/29/2022,$104.36 ,5206041,$106.63 ,$106.63 ,$104.12 
4/28/2022,$107.15 ,5063221,$107.28 ,$107.64 ,$105.35 
4/27/2022,$106.63 ,4757700,$106.78 ,$108.25 ,$106.19 
4/26/2022,$106.78 ,5251290,$107.85 ,$109.42 ,$106.76 
4/25/2022,$109.48 ,5498176,$107.44 ,$109.67 ,$106.88 
4/22/2022,$107.80 ,6351458,$111.75 ,$111.82 ,$107.70 
4/21/2022,$113.09 ,5859312,$114.00 ,$114.31 ,$113.03 
4/20/2022,$113.00 ,5477689,$110.79 ,$113.49 ,$110.79 
4/19/2022,$110.22 ,9780326,$108.65 ,$111.66 ,$108.49 
4/18/2022,$108.08 ,3418015,$108.53 ,$109.25 ,$107.54 
4/14/2022,$109.02 ,6665823,$110.83 ,$111.11 ,$108.91 
4/13/2022,$110.46 ,4791626,$109.66 ,$110.68 ,$109.62 
4/12/2022,$110.58 ,4733973,$111.67 ,$112.22 ,$110.15 
4/11/2022,$111.52 ,3407109,$112.36 ,$112.74 ,$111.35 
4/8/2022,$112.47 ,5230510,$112.06 ,$113.11 ,$111.27 
4/7/2022,$112.33 ,6668839,$111.48 ,$113.12 ,$110.89 
4/6/2022,$111.72 ,5560691,$109.73 ,$112.03 ,$109.00 
4/5/2022,$110.50 ,5496095,$110.55 ,$111.85 ,$110.17 
4/4/2022,$110.88 ,5099324,$112.00 ,$112.16 ,$110.41 
4/1/2022,$112.52 ,4479184,$111.35 ,$112.66 ,$110.84 
3/31/2022,$110.95 ,6899909,$111.27 ,$112.49 ,$110.90 
3/30/2022,$111.56 ,4694970,$111.93 ,$112.52 ,$111.26 
3/29/2022,$112.38 ,8862182,$111.00 ,$112.47 ,$110.69 
3/28/2022,$109.93 ,5687974,$108.94 ,$110.01 ,$108.15 
3/25/2022,$108.46 ,5605499,$106.87 ,$108.48 ,$106.78 
3/24/2022,$106.35 ,5660463,$106.20 ,$106.55 ,$105.18 
3/23/2022,$106.16 ,7002664,$108.33 ,$108.90 ,$105.71 
3/22/2022,$108.97 ,5601778,$109.02 ,$109.55 ,$108.77 
3/21/2022,$108.75 ,8206071,$109.04 ,$110.60 ,$108.09 
3/18/2022,$110.18 ,16292910,$109.73 ,$110.39 ,$108.48 
3/17/2022,$109.74 ,5693442,$107.00 ,$109.79 ,$106.66 
3/16/2022,$107.30 ,5255179,$105.97 ,$107.38 ,$105.40 
3/15/2022,$105.40 ,5017919,$103.97 ,$105.55 ,$103.74 
3/14/2022,$103.22 ,4175599,$104.47 ,$105.07 ,$102.84 
3/11/2022,$103.82 ,5149808,$105.41 ,$106.05 ,$103.60 
3/10/2022,$104.46 ,5146890,$102.82 ,$104.64 ,$102.40 
3/9/2022,$103.58 ,9961966,$106.04 ,$106.67 ,$103.35 
3/8/2022,$104.09 ,7482696,$106.32 ,$106.98 ,$104.04 
3/7/2022,$106.64 ,6556794,$107.75 ,$108.14 ,$106.44 
3/4/2022,$108.31 ,5186620,$106.04 ,$108.54 ,$105.92 
3/3/2022,$107.65 ,6479973,$107.01 ,$108.49 ,$106.35 
3/2/2022,$106.38 ,5919336,$105.09 ,$106.98 ,$104.83 
3/1/2022,$103.66 ,4543455,$104.60 ,$105.12 ,$102.82 
2/28/2022,$104.99 ,5780752,$104.33 ,$105.44 ,$103.60 
2/25/2022,$105.84 ,6969300,$103.63 ,$105.91 ,$103.04 
2/24/2022,$103.33 ,7617334,$100.97 ,$103.49 ,$100.07 
2/23/2022,$103.03 ,6454050,$104.24 ,$104.50 ,$102.55 
2/22/2022,$103.72 ,9610036,$100.45 ,$104.68 ,$100.30 
2/18/2022,$100.58 ,8364702,$101.50 ,$102.02 ,$100.29 
2/17/2022,$101.70 ,5551565,$102.25 ,$103.00 ,$101.39 
2/16/2022,$103.15 ,7499428,$103.07 ,$103.52 ,$101.61 
2/15/2022,$103.91 ,5325606,$103.37 ,$104.80 ,$103.01 
2/14/2022,$102.31 ,7079850,$103.24 ,$103.39 ,$101.69 
2/11/2022,$102.99 ,5858994,$104.69 ,$105.83 ,$102.63 
2/10/2022,$104.88 ,6516774,$105.53 ,$106.77 ,$104.54 
2/9/2022,$106.09 ,7087626,$104.80 ,$106.30 ,$104.80 
2/8/2022,$104.21 ,5775471,$102.51 ,$104.60 ,$102.02 
2/7/2022,$101.99 ,5258379,$102.65 ,$103.24 ,$101.81 
2/4/2022,$102.73 ,4526896,$101.62 ,$103.54 ,$101.57 
2/3/2022,$102.17 ,7134199,$102.12 ,$102.93 ,$101.30 
2/2/2022,$103.37 ,10230150,$102.99 ,$103.49 ,$101.40 
2/1/2022,$103.59 ,8114936,$103.69 ,$104.19 ,$102.50 
1/31/2022,$103.49 ,9254953,$103.00 ,$103.59 ,$101.81 
1/28/2022,$103.13 ,8459443,$103.45 ,$103.94 ,$101.21 
1/27/2022,$103.18 ,5979290,$105.09 ,$105.96 ,$102.82 
1/26/2022,$104.09 ,6568212,$104.62 ,$105.84 ,$103.25 
1/25/2022,$104.17 ,8577420,$102.65 ,$104.66 ,$101.27 
1/24/2022,$104.21 ,10362070,$103.61 ,$104.83 ,$100.68 
1/21/2022,$105.60 ,6406155,$107.35 ,$107.42 ,$104.47 
1/20/2022,$106.11 ,6110629,$106.66 ,$108.94 ,$105.97 
1/19/2022,$107.76 ,7278842,$107.39 ,$109.09 ,$106.95 
1/18/2022,$107.49 ,8019406,$107.01 ,$108.21 ,$106.32 
1/14/2022,$108.55 ,6291571,$108.09 ,$108.85 ,$107.24 
1/13/2022,$108.78 ,5165605,$108.73 ,$110.60 ,$108.45 
1/12/2022,$108.95 ,8421709,$107.71 ,$109.23 ,$107.50 
1/11/2022,$107.89 ,7217276,$106.08 ,$108.07 ,$106.00 
1/10/2022,$105.62 ,6500550,$104.94 ,$105.65 ,$103.62 
1/7/2022,$105.16 ,5142285,$104.00 ,$105.83 ,$103.86 
1/6/2022,$104.97 ,5207133,$106.29 ,$106.81 ,$104.62 
1/5/2022,$106.01 ,7205966,$107.14 ,$108.99 ,$106.00 
1/4/2022,$106.39 ,7680577,$105.73 ,$107.49 ,$105.39 
1/3/2022,$106.10 ,7797764,$103.14 ,$106.33 ,$102.77 
12/31/2021,$103.45 ,3608935,$104.47 ,$104.88 ,$103.44 
12/30/2021,$104.47 ,3519159,$103.88 ,$105.58 ,$103.84 
12/29/2021,$103.95 ,3635700,$104.71 ,$104.98 ,$103.93 
12/28/2021,$104.53 ,7488212,$104.66 ,$104.77 ,$103.95 
12/27/2021,$104.43 ,6593913,$103.29 ,$105.25 ,$102.58 
12/23/2021,$102.90 ,7255507,$102.12 ,$103.40 ,$101.18 
12/22/2021,$101.34 ,6690616,$101.65 ,$101.82 ,$100.91 
12/21/2021,$101.65 ,9610521,$99.98 ,$102.75 ,$99.86 
12/20/2021,$99.53 ,12699930,$99.92 ,$100.43 ,$98.38 
12/17/2021,$100.63 ,22573450,$100.51 ,$103.94 ,$100.26 
12/16/2021,$102.21 ,18427440,$103.33 ,$104.37 ,$101.23 
12/15/2021,$104.94 ,18546520,$105.61 ,$105.78 ,$103.43 
12/14/2021,$111.69 ,8183264,$112.27 ,$113.01 ,$111.27 
12/13/2021,$112.86 ,4749989,$112.30 ,$113.41 ,$112.16 
12/10/2021,$112.43 ,4342720,$113.69 ,$114.15 ,$111.85 
12/9/2021,$112.81 ,6162655,$111.96 ,$113.49 ,$111.47 
12/8/2021,$112.42 ,5585337,$112.38 ,$112.90 ,$111.48 
12/7/2021,$112.27 ,9550735,$111.80 ,$114.44 ,$111.64 
12/6/2021,$110.24 ,7624800,$108.03 ,$111.23 ,$107.71 
12/3/2021,$106.87 ,6923056,$107.62 ,$108.50 ,$105.91 
12/2/2021,$107.28 ,7458787,$105.74 ,$107.92 ,$105.02 
12/1/2021,$105.47 ,8205379,$108.77 ,$108.92 ,$105.38 
11/30/2021,$106.70 ,14018750,$109.57 ,$109.88 ,$106.59 
11/29/2021,$110.28 ,7026175,$112.00 ,$112.47 ,$110.17 
11/26/2021,$111.05 ,5561251,$113.46 ,$113.51 ,$110.78 
11/24/2021,$114.44 ,5588711,$113.06 ,$115.28 ,$112.52 
11/23/2021,$113.38 ,11152110,$112.68 ,$115.61 ,$111.11 
11/22/2021,$116.89 ,6813222,$117.79 ,$118.80 ,$116.76 
11/19/2021,$117.22 ,7324971,$117.94 ,$118.13 ,$116.73 
11/18/2021,$117.67 ,7731843,$117.94 ,$118.05 ,$115.59 
11/17/2021,$117.83 ,3976705,$117.19 ,$118.37 ,$116.63 
11/16/2021,$117.99 ,5283535,$117.30 ,$118.60 ,$116.71 
11/15/2021,$117.58 ,5775249,$119.85 ,$119.94 ,$117.46 
11/12/2021,$119.31 ,5539462,$120.01 ,$120.10 ,$118.29 
11/11/2021,$119.58 ,4046959,$122.39 ,$122.55 ,$118.89 
