date,close_price,volume,open_price,high_price,low_price
6/16/2020,$144.46 ,7582631,$144.09 ,$145.42 ,$142.77 
6/15/2020,$141.25 ,8655014,$141.00 ,$142.40 ,$139.39 
6/12/2020,$142.15 ,8687356,$142.84 ,$143.71 ,$140.28 
6/11/2020,$140.87 ,11913270,$148.58 ,$149.17 ,$140.75 
6/10/2020,$147.80 ,10137070,$146.60 ,$150.03 ,$146.60 
6/9/2020,$145.96 ,8247233,$148.25 ,$149.33 ,$145.65 
6/8/2020,$146.77 ,7555622,$145.88 ,$147.61 ,$145.74 
6/5/2020,$147.30 ,9725441,$147.69 ,$149.64 ,$146.60 
6/4/2020,$146.73 ,8170480,$146.80 ,$148.37 ,$145.58 
6/3/2020,$148.65 ,6339468,$148.52 ,$149.14 ,$146.45 
6/2/2020,$148.25 ,6078311,$147.06 ,$148.35 ,$146.12 
6/1/2020,$147.19 ,6142580,$147.29 ,$148.34 ,$146.01 
5/29/2020,$148.75 ,8505215,$147.96 ,$149.35 ,$145.33 
5/28/2020,$146.97 ,6190582,$146.02 ,$148.11 ,$145.81 
5/27/2020,$144.89 ,7950008,$144.32 ,$145.25 ,$143.01 
5/26/2020,$144.56 ,7072258,$146.19 ,$146.44 ,$144.30 
5/22/2020,$144.37 ,6140899,$144.57 ,$146.29 ,$144.06 
5/21/2020,$146.71 ,6487343,$148.50 ,$148.50 ,$145.82 
5/20/2020,$147.68 ,5713440,$149.75 ,$150.39 ,$147.27 
5/19/2020,$149.02 ,6107256,$150.10 ,$151.10 ,$148.40 
5/18/2020,$150.52 ,7389995,$152.49 ,$153.62 ,$150.46 
5/15/2020,$150.44 ,10340400,$147.87 ,$150.48 ,$145.66 
5/14/2020,$147.64 ,6871412,$145.39 ,$147.76 ,$144.26 
5/13/2020,$147.13 ,6970457,$146.08 ,$148.95 ,$146.01 
5/12/2020,$147.14 ,7039227,$150.10 ,$150.34 ,$147.03 
5/11/2020,$149.11 ,5887489,$148.45 ,$150.10 ,$148.12 
5/8/2020,$148.70 ,4712477,$148.92 ,$149.18 ,$147.89 
5/7/2020,$147.59 ,5571034,$149.37 ,$149.53 ,$147.13 
5/6/2020,$148.08 ,6191594,$150.00 ,$150.32 ,$148.04 
5/5/2020,$149.50 ,6562288,$149.00 ,$150.78 ,$148.64 
5/4/2020,$148.27 ,7198409,$148.77 ,$149.08 ,$147.09 
5/1/2020,$148.29 ,7308960,$149.62 ,$149.67 ,$146.79 
4/30/2020,$150.04 ,14829600,$148.46 ,$150.43 ,$147.16 
4/29/2020,$150.24 ,9285216,$151.38 ,$151.63 ,$149.16 
4/28/2020,$151.39 ,8558719,$151.25 ,$153.10 ,$150.70 
4/27/2020,$154.29 ,8924048,$154.81 ,$156.05 ,$154.00 
4/24/2020,$154.86 ,8654126,$155.57 ,$156.30 ,$153.64 
4/23/2020,$155.51 ,10665020,$154.25 ,$157.00 ,$153.70 
4/22/2020,$152.99 ,11518320,$152.81 ,$155.00 ,$151.73 
4/21/2020,$149.68 ,9951106,$150.12 ,$151.64 ,$148.57 
4/20/2020,$151.67 ,12226200,$150.93 ,$153.00 ,$150.09 
4/17/2020,$152.02 ,10920020,$151.99 ,$152.30 ,$149.60 
4/16/2020,$149.67 ,12181700,$148.31 ,$150.68 ,$146.44 
4/15/2020,$147.66 ,11962260,$145.55 ,$147.91 ,$143.54 
4/14/2020,$146.03 ,13838020,$145.42 ,$147.42 ,$144.05 
4/13/2020,$139.77 ,8153228,$140.00 ,$141.49 ,$137.84 
4/9/2020,$141.23 ,11127210,$144.01 ,$145.42 ,$140.28 
4/8/2020,$143.26 ,10758180,$137.75 ,$144.13 ,$137.30 
4/7/2020,$137.48 ,11567070,$139.86 ,$142.03 ,$137.26 
4/6/2020,$139.76 ,14994420,$137.01 ,$140.97 ,$135.54 
4/3/2020,$134.17 ,10071180,$132.38 ,$134.79 ,$131.58 
4/2/2020,$133.15 ,11594460,$129.12 ,$134.00 ,$127.22 
4/1/2020,$128.81 ,12606080,$127.70 ,$130.23 ,$125.50 
3/31/2020,$131.13 ,15746120,$134.99 ,$135.71 ,$130.05 
3/30/2020,$133.01 ,21754030,$128.46 ,$133.99 ,$127.50 
3/27/2020,$123.16 ,12133220,$121.65 ,$127.62 ,$120.58 
3/26/2020,$126.57 ,15068650,$120.57 ,$127.10 ,$120.38 
3/25/2020,$119.40 ,13986050,$118.91 ,$123.96 ,$116.70 
3/24/2020,$119.18 ,17604770,$118.76 ,$119.65 ,$113.86 
3/23/2020,$111.14 ,20815230,$117.00 ,$118.56 ,$109.16 
3/20/2020,$119.89 ,19785130,$126.83 ,$127.44 ,$118.13 
3/19/2020,$127.05 ,18482340,$134.99 ,$134.99 ,$126.15 
3/18/2020,$134.96 ,17521130,$131.02 ,$135.67 ,$128.71 
3/17/2020,$136.59 ,18911760,$128.55 ,$136.77 ,$127.81 
3/16/2020,$127.13 ,18877920,$123.57 ,$133.76 ,$122.43 
3/13/2020,$134.29 ,20084150,$129.32 ,$134.92 ,$124.65 
3/12/2020,$125.41 ,21539200,$127.31 ,$133.77 ,$124.50 
3/11/2020,$131.80 ,17768060,$138.09 ,$138.75 ,$131.50 
3/10/2020,$141.64 ,12698070,$139.97 ,$141.95 ,$134.23 
3/9/2020,$136.44 ,13848570,$136.33 ,$139.68 ,$134.90 
3/6/2020,$142.03 ,12239090,$138.48 ,$143.01 ,$137.41 
3/5/2020,$142.01 ,11339190,$140.80 ,$142.68 ,$139.84 
3/4/2020,$143.48 ,10560820,$137.68 ,$143.64 ,$137.14 
3/3/2020,$135.59 ,13662450,$140.00 ,$140.99 ,$133.10 
3/2/2020,$140.02 ,11508230,$134.78 ,$140.13 ,$134.01 
2/28/2020,$134.48 ,19825530,$135.36 ,$137.29 ,$130.82 
2/27/2020,$139.12 ,12566710,$142.56 ,$144.77 ,$138.95 
2/26/2020,$143.68 ,10094400,$145.35 ,$146.22 ,$143.59 
2/25/2020,$144.65 ,10529370,$145.99 ,$146.75 ,$143.83 
2/24/2020,$145.91 ,10589200,$146.50 ,$149.00 ,$145.25 
2/21/2020,$149.93 ,7776835,$148.09 ,$150.24 ,$147.54 
2/20/2020,$148.37 ,7465047,$148.61 ,$149.38 ,$147.40 
2/19/2020,$148.94 ,6115220,$149.21 ,$149.76 ,$148.58 
2/18/2020,$149.14 ,7231010,$150.47 ,$150.74 ,$149.06 
2/14/2020,$150.13 ,5716549,$150.56 ,$150.64 ,$149.15 
2/13/2020,$150.09 ,5480225,$150.16 ,$151.05 ,$149.88 
2/12/2020,$151.09 ,5167069,$151.87 ,$152.15 ,$150.92 
2/11/2020,$151.99 ,3715389,$152.29 ,$152.38 ,$151.54 
2/10/2020,$151.86 ,4836002,$151.68 ,$151.91 ,$150.89 
2/7/2020,$151.89 ,5700295,$153.34 ,$153.46 ,$151.55 
2/6/2020,$153.53 ,6201257,$154.25 ,$154.50 ,$152.74 
2/5/2020,$153.99 ,5980013,$151.72 ,$154.02 ,$151.31 
2/4/2020,$151.60 ,6541584,$151.49 ,$152.75 ,$151.20 
2/3/2020,$150.17 ,5765413,$149.42 ,$150.49 ,$149.24 
1/31/2020,$148.87 ,8651930,$149.75 ,$150.00 ,$148.64 
1/30/2020,$150.36 ,6470584,$150.03 ,$150.51 ,$149.05 
1/29/2020,$150.54 ,6288760,$149.45 ,$151.19 ,$149.13 
1/28/2020,$149.50 ,7336636,$148.46 ,$150.57 ,$148.15 
1/27/2020,$148.75 ,7587103,$147.52 ,$149.46 ,$147.00 
1/24/2020,$148.32 ,9051933,$148.58 ,$148.95 ,$147.93 
1/23/2020,$148.53 ,8671988,$148.04 ,$148.77 ,$146.76 
