date,close_price,volume,open_price,high_price,low_price
1/25/2017,$87.16 ,8081945,$87.84 ,$87.90 ,$87.06 
1/24/2017,$87.86 ,8704054,$87.22 ,$87.95 ,$87.22 
1/23/2017,$86.96 ,9392451,$87.09 ,$87.35 ,$86.85 
1/20/2017,$87.45 ,22926200,$86.89 ,$87.98 ,$86.42 
1/19/2017,$84.70 ,14040100,$84.63 ,$85.00 ,$84.28 
1/18/2017,$84.93 ,10521180,$84.80 ,$85.30 ,$84.59 
1/17/2017,$85.21 ,13143940,$83.90 ,$85.58 ,$83.88 
1/13/2017,$84.01 ,6758640,$83.85 ,$84.02 ,$83.44 
1/12/2017,$83.84 ,6539265,$83.71 ,$83.88 ,$83.37 
1/11/2017,$83.75 ,9324662,$83.39 ,$83.75 ,$83.28 
1/10/2017,$83.49 ,10905800,$84.34 ,$84.43 ,$83.24 
1/9/2017,$84.40 ,10988050,$84.06 ,$84.66 ,$83.75 
1/6/2017,$85.03 ,4792548,$84.94 ,$85.25 ,$84.62 
1/5/2017,$85.06 ,6848396,$84.41 ,$85.43 ,$84.38 
1/4/2017,$84.50 ,8086149,$84.45 ,$84.60 ,$84.24 
1/3/2017,$84.20 ,8776133,$83.88 ,$84.39 ,$83.50 
12/30/2016,$84.08 ,6209836,$84.17 ,$84.45 ,$83.92 
12/29/2016,$84.35 ,3718294,$84.24 ,$84.49 ,$84.10 
12/28/2016,$84.07 ,4194070,$84.40 ,$84.63 ,$83.95 
12/27/2016,$84.60 ,3777504,$84.90 ,$84.94 ,$84.42 
12/23/2016,$84.96 ,5283719,$84.68 ,$85.18 ,$84.55 
12/22/2016,$84.47 ,7858406,$84.00 ,$84.61 ,$83.87 
12/21/2016,$84.28 ,6090354,$84.19 ,$84.73 ,$84.12 
12/20/2016,$84.57 ,7479261,$84.57 ,$84.71 ,$84.19 
12/19/2016,$84.71 ,6424788,$84.75 ,$84.98 ,$84.32 
12/16/2016,$84.68 ,20686320,$84.90 ,$85.12 ,$84.15 
12/15/2016,$84.68 ,8749331,$84.15 ,$84.80 ,$83.61 
12/14/2016,$84.37 ,12275770,$85.29 ,$85.74 ,$84.17 
12/13/2016,$85.18 ,11599120,$84.67 ,$85.36 ,$84.53 
12/12/2016,$85.13 ,7474974,$84.21 ,$85.18 ,$84.21 
12/9/2016,$84.37 ,7934287,$83.52 ,$84.40 ,$83.47 
12/8/2016,$83.50 ,7507218,$83.79 ,$84.18 ,$83.50 
12/7/2016,$84.18 ,8560261,$82.74 ,$84.28 ,$82.71 
12/6/2016,$82.91 ,7318679,$83.24 ,$83.25 ,$82.61 
12/5/2016,$82.99 ,8597539,$82.56 ,$83.08 ,$82.48 
12/2/2016,$82.40 ,9072990,$82.35 ,$82.68 ,$82.07 
12/1/2016,$81.86 ,12503080,$82.21 ,$82.32 ,$81.18 
11/30/2016,$82.46 ,12115370,$82.52 ,$82.83 ,$82.26 
11/29/2016,$82.89 ,6183113,$83.42 ,$83.48 ,$82.69 
11/28/2016,$83.07 ,6969266,$83.13 ,$83.36 ,$82.76 
11/25/2016,$83.46 ,3883098,$82.99 ,$83.46 ,$82.95 
11/23/2016,$82.68 ,10760040,$82.59 ,$82.93 ,$82.52 
11/22/2016,$82.76 ,7421886,$83.01 ,$83.18 ,$82.66 
11/21/2016,$82.64 ,11481660,$82.10 ,$82.75 ,$81.71 
11/18/2016,$82.00 ,14561340,$82.92 ,$83.10 ,$81.99 
11/17/2016,$83.07 ,9083724,$83.27 ,$83.50 ,$82.93 
11/16/2016,$83.19 ,8542525,$83.98 ,$84.20 ,$83.17 
11/15/2016,$83.62 ,9460074,$84.58 ,$84.58 ,$82.88 
11/14/2016,$83.00 ,12857310,$83.56 ,$83.78 ,$82.76 
11/11/2016,$83.58 ,8905628,$82.67 ,$84.06 ,$82.65 
11/10/2016,$82.96 ,22078640,$85.51 ,$85.70 ,$82.18 
11/9/2016,$85.93 ,11972510,$85.26 ,$86.54 ,$84.31 
11/8/2016,$87.46 ,7669843,$86.77 ,$87.69 ,$86.59 
11/7/2016,$86.56 ,8862096,$86.02 ,$86.57 ,$85.60 
11/4/2016,$85.08 ,9368702,$86.69 ,$86.73 ,$85.07 
11/3/2016,$86.60 ,6895926,$86.80 ,$86.98 ,$86.47 
11/2/2016,$86.74 ,7769128,$86.77 ,$87.41 ,$86.56 
11/1/2016,$86.85 ,8564387,$86.58 ,$86.99 ,$86.48 
10/31/2016,$86.80 ,8207135,$87.01 ,$87.47 ,$86.69 
10/28/2016,$86.84 ,7020985,$86.87 ,$87.23 ,$86.45 
10/27/2016,$86.58 ,6594009,$87.51 ,$87.60 ,$86.45 
10/26/2016,$87.40 ,8458274,$86.91 ,$87.74 ,$86.78 
10/25/2016,$86.97 ,20752510,$87.49 ,$88.08 ,$86.97 
10/24/2016,$84.10 ,10570770,$84.39 ,$84.70 ,$84.06 
10/21/2016,$84.33 ,13679790,$84.41 ,$84.86 ,$84.24 
10/20/2016,$84.93 ,10172280,$85.38 ,$85.52 ,$84.79 
10/19/2016,$85.54 ,12788650,$86.65 ,$86.82 ,$85.44 
10/18/2016,$87.45 ,10748540,$88.21 ,$88.27 ,$87.44 
10/17/2016,$87.83 ,7605826,$88.43 ,$88.65 ,$87.71 
10/14/2016,$88.43 ,7368968,$88.50 ,$88.96 ,$88.22 
10/13/2016,$88.24 ,11158080,$88.05 ,$88.57 ,$87.60 
10/12/2016,$88.57 ,17093450,$88.74 ,$89.01 ,$88.33 
10/11/2016,$88.54 ,11723000,$88.83 ,$89.12 ,$88.20 
10/10/2016,$89.06 ,15488230,$90.19 ,$90.33 ,$88.78 
10/7/2016,$90.00 ,20435040,$89.01 ,$90.05 ,$88.30 
10/6/2016,$89.22 ,60962440,$88.83 ,$89.73 ,$88.47 
10/5/2016,$88.85 ,64574940,$88.48 ,$89.00 ,$88.21 
10/4/2016,$88.35 ,23311380,$88.29 ,$88.68 ,$87.95 
10/3/2016,$88.66 ,26789520,$89.35 ,$89.45 ,$88.41 
9/30/2016,$89.75 ,123720400,$88.30 ,$90.22 ,$88.29 
9/29/2016,$88.23 ,74579910,$89.16 ,$89.27 ,$87.54 
