Date,Close/Last,Volume,Open,High,Low
11/14/2023,$190.24 ,2951656,$188.77 ,$190.67 ,$188.65 
11/13/2023,$186.51 ,1675859,$186.80 ,$187.51 ,$185.71 
11/10/2023,$186.71 ,2178647,$184.61 ,$186.92 ,$183.66 
11/9/2023,$183.68 ,2718322,$183.87 ,$185.42 ,$183.20 
11/8/2023,$184.62 ,3193524,$186.88 ,$186.88 ,$183.78 
11/7/2023,$186.61 ,2482252,$186.77 ,$187.25 ,$185.56 
11/6/2023,$187.50 ,2339892,$188.67 ,$188.90 ,$187.02 
11/3/2023,$188.99 ,2960084,$188.14 ,$190.21 ,$187.98 
11/2/2023,$186.43 ,3059557,$185.60 ,$187.14 ,$184.15 
11/1/2023,$183.99 ,3358688,$184.19 ,$184.27 ,$181.42 
10/31/2023,$183.26 ,3770344,$179.50 ,$183.92 ,$179.18 
10/30/2023,$179.75 ,2633837,$177.54 ,$180.30 ,$176.60 
10/27/2023,$177.00 ,3400371,$175.65 ,$179.12 ,$175.35 
10/26/2023,$176.06 ,4817578,$178.58 ,$182.99 ,$174.88 
10/25/2023,$178.09 ,4147428,$181.45 ,$181.78 ,$177.98 
10/24/2023,$181.46 ,2552306,$181.57 ,$183.02 ,$180.26 
10/23/2023,$180.52 ,2073580,$181.59 ,$183.08 ,$180.39 
10/20/2023,$181.32 ,3043455,$182.65 ,$183.78 ,$181.06 
10/19/2023,$182.27 ,2565722,$183.17 ,$185.86 ,$181.86 
10/18/2023,$183.47 ,2262036,$185.63 ,$186.04 ,$183.04 
10/17/2023,$186.32 ,1848913,$185.34 ,$187.29 ,$184.97 
10/16/2023,$186.23 ,2433101,$185.61 ,$187.50 ,$185.13 
10/13/2023,$183.56 ,2245641,$184.85 ,$184.85 ,$182.36 
10/12/2023,$183.94 ,2414023,$187.36 ,$187.39 ,$182.82 
10/11/2023,$187.40 ,2210345,$186.56 ,$188.29 ,$185.81 
10/10/2023,$186.34 ,3262668,$188.00 ,$188.09 ,$184.38 
10/9/2023,$186.52 ,2278984,$185.31 ,$186.98 ,$184.76 
10/6/2023,$184.66 ,3770890,$180.47 ,$185.30 ,$179.70 
10/5/2023,$180.02 ,2288328,$182.15 ,$182.42 ,$179.13 
10/4/2023,$182.50 ,2298684,$181.43 ,$182.96 ,$180.42 
10/3/2023,$181.14 ,2490471,$181.86 ,$182.72 ,$180.24 
10/2/2023,$182.61 ,2700935,$184.00 ,$184.82 ,$181.07 
9/29/2023,$184.74 ,3330883,$188.22 ,$188.23 ,$184.34 
9/28/2023,$187.11 ,2912309,$187.73 ,$188.98 ,$186.68 
9/27/2023,$187.88 ,2235298,$188.94 ,$188.94 ,$186.35 
9/26/2023,$187.89 ,3399534,$191.01 ,$191.34 ,$187.76 
9/25/2023,$191.86 ,2723193,$189.04 ,$192.03 ,$188.56 
9/22/2023,$189.78 ,2824497,$190.93 ,$191.84 ,$189.59 
9/21/2023,$191.43 ,2917718,$194.67 ,$194.67 ,$191.40 
9/20/2023,$194.44 ,2374326,$196.14 ,$197.09 ,$194.39 
9/19/2023,$195.35 ,2872400,$193.14 ,$195.62 ,$193.14 
9/18/2023,$194.46 ,2296961,$192.75 ,$195.35 ,$192.44 
9/15/2023,$193.04 ,6014023,$194.52 ,$194.92 ,$192.39 
9/14/2023,$193.56 ,3682184,$192.40 ,$195.31 ,$191.94 
9/13/2023,$191.59 ,5057296,$189.82 ,$193.66 ,$189.79 
9/12/2023,$189.21 ,3667566,$186.19 ,$189.94 ,$185.97 
9/11/2023,$186.21 ,2115478,$185.93 ,$186.64 ,$184.75 
9/8/2023,$184.52 ,1769739,$183.80 ,$184.99 ,$183.42 
9/7/2023,$184.12 ,2086214,$184.75 ,$185.83 ,$183.23 
9/6/2023,$184.51 ,2228925,$185.04 ,$185.83 ,$183.63 
9/5/2023,$185.70 ,2229187,$188.58 ,$188.80 ,$185.62 
9/1/2023,$188.39 ,1595824,$189.02 ,$189.49 ,$187.54 
8/31/2023,$187.94 ,2598517,$188.45 ,$189.40 ,$187.92 
8/30/2023,$188.56 ,2206947,$189.52 ,$190.70 ,$187.71 
8/29/2023,$189.52 ,2180494,$187.88 ,$189.82 ,$187.35 
8/28/2023,$187.88 ,1941139,$188.44 ,$189.64 ,$187.12 
8/25/2023,$186.30 ,1943869,$185.62 ,$187.17 ,$184.58 
8/24/2023,$185.16 ,2391471,$186.94 ,$188.79 ,$185.11 
8/23/2023,$187.08 ,1899304,$186.50 ,$187.57 ,$186.15 
8/22/2023,$186.01 ,1713108,$187.35 ,$187.50 ,$185.55 
8/21/2023,$186.95 ,1930803,$186.01 ,$187.30 ,$185.42 
8/18/2023,$186.58 ,2053767,$185.19 ,$187.56 ,$185.07 
8/17/2023,$185.98 ,2481131,$187.46 ,$188.22 ,$185.98 
8/16/2023,$186.49 ,2241316,$187.65 ,$188.50 ,$186.41 
8/15/2023,$187.80 ,2251989,$187.98 ,$188.42 ,$186.56 
8/14/2023,$189.51 ,2444190,$190.95 ,$191.81 ,$189.16 
8/11/2023,$190.67 ,2700032,$188.20 ,$191.44 ,$188.20 
8/10/2023,$188.74 ,2811662,$188.22 ,$190.62 ,$188.06 
8/9/2023,$189.24 ,3224678,$187.05 ,$190.27 ,$187.00 
